class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Sorceress	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Necromancer	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Paladin	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Barbarian	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Monster	0	321	0	442	10	10	16	306	63	353	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	4	20	310	41	157	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	4	20	310	255	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	6	4	74	248	273	389	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	16	306	16	248	10	8	16	306	16	248	29	29	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1
Guild Vault Page 1	0	321	220	442	10	4	16	306	199	315	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	4	16	306	199	315	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	16	306	84	374	10	10	16	306	84	374	29	29	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1	-81	-81	-61	-61	-1	-1
Hireling	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	20	75	47	159	55	112	133	189	77	159	56	82	251	306	47	159	55	112	135	189	8	59	54	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Druid	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Assassin	320	640	0	441	10	6	338	627	211	384	29	29	338	396	27	143	58	116	454	512	75	162	58	87	560	618	27	143	58	116	455	509	8	59	54	51	522	551	33	63	29	30	412	441	177	206	29	29	526	555	177	206	29	29	454	510	177	206	56	29	569	627	149	205	58	56	338	396	150	208	58	58
Amazon2	400	720	60	501	10	6	418	707	271	444	29	29	418	476	87	203	58	116	534	592	135	222	58	87	640	698	87	203	58	116	535	589	68	119	54	51	602	631	93	123	29	30	492	521	237	266	29	29	606	635	237	266	29	29	534	590	237	266	56	29	649	707	209	265	58	56	418	476	210	268	58	58
Sorceress2	400	720	60	501	10	6	418	707	271	444	29	29	418	476	87	203	58	116	534	592	135	222	58	87	640	698	87	203	58	116	535	589	68	119	54	51	602	631	93	123	29	30	492	521	237	266	29	29	606	635	237	266	29	29	534	590	237	266	56	29	649	707	209	265	58	56	418	476	210	268	58	58
Necromancer2	400	720	60	501	10	6	418	707	271	444	29	29	418	476	87	203	58	116	534	592	135	222	58	87	640	698	87	203	58	116	535	589	68	119	54	51	602	631	93	123	29	30	492	521	237	266	29	29	606	635	237	266	29	29	534	590	237	266	56	29	649	707	209	265	58	56	418	476	210	268	58	58
